"proptime","growth_curve","pred_curve","fitness","NCE_CE","mu_g"
0.72,0.597402597402597,0.184,0.413402597402597,2.18802936194241,0.308
0.71,0.601731601731602,0.187,0.414731601731602,2.12977753084705,0.310769784172662
0.7,0.606060606060606,0.19,0.416060606060606,2.07336523125997,0.3135
0.69,0.61038961038961,0.193,0.41738961038961,2.01870668191912,0.316191489361702
0.68,0.614718614718615,0.196,0.418718614718615,1.96572135347646,0.318845070422535
0.67,0.619047619047619,0.199,0.420047619047619,1.91433357262503,0.321461538461538
0.66,0.623376623376623,0.202,0.421376623376623,1.86447216150186,0.324041666666667
0.65,0.627705627705628,0.205,0.422705627705628,1.81607010875304,0.326586206896552
0.64,0.632034632034632,0.208,0.424034632034632,1.76906426906427,0.329095890410959
0.63,0.636363636363636,0.211,0.425363636363636,1.723395088324,0.331571428571429
0.62,0.640692640692641,0.214,0.426692640692641,1.67900635190355,0.334013513513513
0.61,0.645021645021645,0.217,0.428021645021645,1.6358449538173,0.336422818791946
0.6,0.649350649350649,0.22,0.429350649350649,1.59386068476978,0.3388
0.59,0.653679653679654,0.223,0.430679653679654,1.55300603731097,0.341145695364238
0.58,0.658008658008658,0.226,0.432008658008658,1.51323602651036,0.343460526315789
0.57,0.662337662337662,0.229,0.433337662337662,1.47450802472637,0.345745098039216
0.56,0.666666666666667,0.232,0.434666666666667,1.4367816091954,0.348
0.55,0.670995670995671,0.235,0.435995670995671,1.40001842129502,0.350225806451613
0.54,0.675324675324675,0.238,0.437324675324675,1.36418203645094,0.352423076923077
0.53,0.67965367965368,0.241,0.43865367965368,1.32923784376067,0.354592356687898
0.52,0.683982683982684,0.244,0.439982683982684,1.2951529344972,0.35673417721519
0.51,0.688311688311688,0.247,0.441311688311688,1.2618959987381,0.358849056603774
0.5,0.692640692640693,0.25,0.442640692640693,1.22943722943723,0.3609375
0.49,0.696969696969697,0.253,0.443969696969697,1.19774823332136,0.363
0.48,0.701298701298701,0.256,0.445298701298701,1.16680194805195,0.365037037037037
0.47,0.705627705627706,0.259,0.446627705627706,1.13657256514399,0.367049079754601
0.46,0.70995670995671,0.262,0.44795670995671,1.1070354581805,0.369036585365854
0.45,0.714285714285714,0.265,0.449285714285714,1.07816711590297,0.371
0.44,0.718614718614719,0.268,0.450614718614719,1.04994507979583,0.372939759036145
0.43,0.722943722943723,0.271,0.451943722943723,1.02234788581652,0.37485628742515
0.42,0.727272727272727,0.274,0.453272727272727,0.99535500995355,0.37675
0.41,0.731601731601731,0.277,0.454601731601731,0.968946817322269,0.378621301775148
0.4,0.735930735930736,0.28,0.455930735930736,0.943104514533086,0.380470588235294
0.39,0.74025974025974,0.283,0.45725974025974,0.917810105089257,0.382298245614035
0.38,0.744588744588745,0.286,0.458588744588745,0.893046347591802,0.384104651162791
0.37,0.748917748917749,0.289,0.459917748917749,0.868796716547581,0.385890173410405
0.36,0.753246753246753,0.292,0.461246753246753,0.845045365593311,0.387655172413793
0.35,0.757575757575758,0.295,0.462575757575758,0.821777092963534,0.3894
0.34,0.761904761904762,0.298,0.463904761904762,0.798977309044423,0.391125
0.33,0.766233766233766,0.301,0.465233766233766,0.776632005867886,0.392830508474576
0.32,0.77056277056277,0.304,0.46656277056277,0.754727728411939,0.394516853932584
0.31,0.774891774891775,0.307,0.467891774891775,0.733251547583795,0.396184357541899
0.3,0.779220779220779,0.31,0.469220779220779,0.71219103477168,0.397833333333333
0.29,0.783549783549784,0.313,0.470549783549784,0.691534237860116,0.39946408839779
0.28,0.787878787878788,0.316,0.471878787878788,0.671269658611431,0.401076923076923
0.27,0.792207792207792,0.319,0.473207792207792,0.651386231323536,0.402672131147541
0.26,0.796536796536797,0.322,0.474536796536797,0.631873302680756,0.40425
0.25,0.800865800865801,0.325,0.475865800865801,0.612720612720613,0.405810810810811
0.24,0.805194805194805,0.328,0.477194805194805,0.593918276845106,0.407354838709677
0.23,0.809523809523809,0.331,0.478523809523809,0.575456768810243,0.408882352941177
0.22,0.813852813852814,0.334,0.479852813852814,0.557326904632294,0.410393617021277
0.21,0.818181818181818,0.337,0.481181818181818,0.539519827353655,0.411888888888889
