"trait","speed","growth_curve","pred_curve","fitness","NCE_CE"
0.29,0.71,0.956586826347305,0.325487944589099,0.631098881758207,0.133378745278877
0.3,0.7,0.954545454545455,0.321242856985381,0.633302597560074,0.141495894667049
0.31,0.69,0.952453987730061,0.317002344643455,0.635451643086606,0.14998631105841
0.32,0.68,0.950310559006211,0.312766593658579,0.637543965347633,0.158870678650645
0.33,0.67,0.94811320754717,0.308535800130482,0.639577407416688,0.168171059665967
0.34,0.66,0.945859872611465,0.304310170828297,0.641549701783168,0.177911001926659
0.35,0.65,0.943548387096774,0.300089923907756,0.643458463189019,0.188115656027752
0.36,0.64,0.941176470588235,0.29587528968537,0.645301180902865,0.198811903063338
0.37,0.63,0.938741721854305,0.291666511474775,0.64707521037953,0.210028493967136
0.38,0.62,0.936241610738255,0.287463846490915,0.64877776424734,0.221796201644299
0.39,0.61,0.933673469387755,0.283267566828368,0.650405902559387,0.234147987201204
0.4,0.6,0.931034482758621,0.279077960520712,0.651956522237909,0.247119181725069
0.41,0.59,0.928321678321678,0.274895332688571,0.653426345633107,0.260747685227257
0.42,0.58,0.925531914893617,0.270720006784767,0.65481190810885,0.275074184545171
0.43,0.57,0.922661870503597,0.266552325945869,0.656109544557728,0.290142392199978
0.44,0.56,0.91970802919708,0.26239265446042,0.65731537473666,0.305999308433503
0.45,0.55,0.916666666666667,0.258241379365203,0.658425287301464,0.32269550890016
0.46,0.54,0.913533834586466,0.254098912182094,0.659434922404372,0.340285460771945
0.47,0.53,0.91030534351145,0.249965690809417,0.660339652702034,0.358827870329357
0.48,0.52,0.906976744186046,0.245842181583142,0.661134562602905,0.378386065462464
0.49,0.51,0.903543307086614,0.241728881524968,0.661814425561646,0.399028416897808
0.5,0.5,0.9,0.237626320796098,0.662373679203902,0.420828802402777
0.51,0.49,0.896341463414634,0.23353506537754,0.662806398037094,0.443867118703515
0.52,0.48,0.892561983471074,0.22945572,0.663106263471074,0.468229846390082
0.53,0.47,0.888655462184874,0.225388931348833,0.663266530836041,0.494010673677666
0.54,0.46,0.884615384615385,0.221335391572255,0.663279993043129,0.521311185549591
0.55,0.45,0.880434782608696,0.217295842123918,0.663138940484778,0.550241625530597
0.56,0.44,0.876106194690266,0.213271077974173,0.662835116716093,0.58092173813056
0.57,0.43,0.871621621621622,0.209261952227855,0.662359669393767,0.613481700861673
0.58,0.42,0.86697247706422,0.205269381190143,0.661703095874077,0.648063155666431
0.59,0.41,0.86214953271028,0.201294349926122,0.660855182784158,0.684820350597584
0.6,0.4,0.857142857142857,0.197337918363907,0.65980493877895,0.723921403658991
0.61,0.39,0.851941747572815,0.193401227995698,0.658540519577117,0.765549701837869
0.62,0.38,0.846534653465347,0.1894855092357,0.657049144229647,0.809905449517826
0.63,0.37,0.840909090909091,0.185592089498461,0.65531700141063,0.857207381633731
0.64,0.36,0.835051546391753,0.181722402065683,0.65332914432607,0.907694658078687
0.65,0.35,0.828947368421053,0.177877995813598,0.651069372607454,0.961628956952026
0.66,0.34,0.82258064516129,0.174060545876507,0.648520099284783,1.01929678518063
0.67,0.33,0.815934065934066,0.170271865324301,0.645662200609765,1.08101202577044
0.68,0.32,0.808988764044944,0.166513917932497,0.642474846112447,1.14711874134443
0.69,0.31,0.801724137931034,0.162788832121458,0.638935305809577,1.2179942535679
0.7,0.3,0.794117647058823,0.159098916136252,0.635018730922572,1.29405251739654
0.71,0.29,0.786144578313253,0.15544667452865,0.630697903784603,1.37574780763375
0.72,0.28,0.777777777777778,0.15183482598642,0.625942951791358,1.46357873286658
0.73,0.27,0.768987341772152,0.148266322530307,0.620721019241845,1.55809258829245
0.74,0.26,0.75974025974026,0.144744370063293,0.614995889676966,1.65989005413254
0.75,0.25,0.75,0.141272450206693,0.608727549793307,1.76963024025017
0.76,0.24,0.73972602739726,0.13785434328961,0.60187168410765,1.88803607047727
0.77,0.23,0.72887323943662,0.134494152267825,0.594379087168795,2.01589999261434
0.78,0.22,0.717391304347826,0.13119632723021,0.586194977117616,2.15408999335995
0.79,0.21,0.705223880597015,0.12796569,0.577258190597015,2.30355589379454
0.8,0.2,0.692307692307692,0.124807458149263,0.567500234158429,2.46533590423999
0.81,0.19,0.678571428571428,0.121727267513109,0.556844161058319,2.64056343328298
0.82,0.18,0.663934426229508,0.118731192012716,0.545203234216792,2.83047418351953
0.83,0.17,0.648305084745763,0.115825759273734,0.532479325472029,3.03641363941391
0.84,0.16,0.631578947368421,0.113017960165354,0.518560987203067,3.25984517940821
0.85,0.15,0.613636363636364,0.11031525,0.503321113636364,3.50235925099781
0.86,0.14,0.594339622641509,0.107725538751085,0.486614083890424,3.76568436845625
0.87,0.13,0.573529411764706,0.105257167308858,0.468272244455848,4.0517011728417
0.88,0.12,0.551020408163265,0.102918866562853,0.448101541600412,4.36246148865757
0.89,0.11,0.526595744680851,0.100719696054466,0.425876048626385,4.70021528920366
