"delta","growth_curve","pred_curve","fitness","NCE_CE"
0.55,0.486666666666667,0.225,0.261666666666667,2.28148148148148
0.54,0.496,0.23,0.266,2.19130434782609
0.53,0.505333333333333,0.235,0.270333333333333,2.10496453900709
0.52,0.514666666666667,0.24,0.274666666666667,2.02222222222222
0.51,0.524,0.245,0.279,1.94285714285714
0.5,0.533333333333333,0.25,0.283333333333333,1.86666666666667
0.49,0.542666666666667,0.255,0.287666666666667,1.79346405228758
0.48,0.552,0.26,0.292,1.72307692307692
0.47,0.561333333333333,0.265,0.296333333333333,1.65534591194969
0.46,0.570666666666667,0.27,0.300666666666667,1.59012345679012
0.45,0.58,0.275,0.305,1.52727272727273
0.44,0.589333333333333,0.28,0.309333333333333,1.46666666666667
0.43,0.598666666666667,0.285,0.313666666666667,1.40818713450292
0.42,0.608,0.29,0.318,1.35172413793103
0.41,0.617333333333333,0.295,0.322333333333333,1.29717514124294
0.4,0.626666666666667,0.3,0.326666666666667,1.24444444444444
0.39,0.636,0.305,0.331,1.19344262295082
0.38,0.645333333333333,0.31,0.335333333333333,1.14408602150538
0.37,0.654666666666667,0.315,0.339666666666667,1.0962962962963
0.36,0.664,0.32,0.344,1.05
0.35,0.673333333333333,0.325,0.348333333333333,1.00512820512821
0.34,0.682666666666667,0.33,0.352666666666667,0.961616161616162
0.33,0.692,0.335,0.357,0.919402985074627
0.32,0.701333333333333,0.34,0.361333333333333,0.878431372549019
0.31,0.710666666666667,0.345,0.365666666666667,0.838647342995169
0.3,0.72,0.35,0.37,0.8
0.29,0.729333333333333,0.355,0.374333333333333,0.762441314553991
0.28,0.738666666666667,0.36,0.378666666666667,0.725925925925926
0.27,0.748,0.365,0.383,0.69041095890411
0.26,0.757333333333333,0.37,0.387333333333333,0.655855855855856
0.25,0.766666666666667,0.375,0.391666666666667,0.622222222222222
0.24,0.776,0.38,0.396,0.589473684210526
0.23,0.785333333333333,0.385,0.400333333333333,0.557575757575758
0.22,0.794666666666667,0.39,0.404666666666667,0.526495726495726
0.21,0.804,0.395,0.409,0.496202531645569
0.2,0.813333333333333,0.4,0.413333333333333,0.466666666666667
0.19,0.822666666666667,0.405,0.417666666666667,0.437860082304526
0.18,0.832,0.41,0.422,0.409756097560975
0.17,0.841333333333333,0.415,0.426333333333333,0.382329317269076
0.16,0.850666666666667,0.42,0.430666666666667,0.355555555555556
0.15,0.86,0.425,0.435,0.329411764705882
0.14,0.869333333333333,0.43,0.439333333333333,0.303875968992248
0.13,0.878666666666667,0.435,0.443666666666667,0.278927203065134
0.12,0.888,0.44,0.448,0.254545454545455
0.11,0.897333333333333,0.445,0.452333333333333,0.230711610486891
0.1,0.906666666666667,0.45,0.456666666666667,0.207407407407407
0.09,0.916,0.455,0.461,0.184615384615385
0.08,0.925333333333333,0.46,0.465333333333333,0.16231884057971
0.07,0.934666666666667,0.465,0.469666666666667,0.140501792114695
0.0599999999999999,0.944,0.47,0.474,0.119148936170213
0.0499999999999999,0.953333333333333,0.475,0.478333333333333,0.0982456140350877
0.04,0.962666666666667,0.48,0.482666666666667,0.0777777777777778
0.03,0.972,0.485,0.487,0.0577319587628866
0.02,0.981333333333333,0.49,0.491333333333333,0.0380952380952382
0.01,0.990666666666667,0.495,0.495666666666667,0.0188552188552188
0,1,0.5,0.5,0
