"trait","speed","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0.64,0.36,0.835051546391753,0.363444804131365,0.471606742260387,0.453847329039343,0.435236370379536
0.65,0.35,0.828947368421053,0.355755991627197,0.473191376793856,0.480814478476013,0.429165958153444
0.66,0.34,0.82258064516129,0.348121091753014,0.474459553408276,0.509648392590316,0.423206033111507
0.67,0.33,0.815934065934066,0.340543730648602,0.475390335285464,0.54050601288522,0.417366727124886
0.68,0.32,0.808988764044944,0.333027835864994,0.47596092817995,0.573559370672216,0.411659408222007
0.69,0.31,0.801724137931034,0.325577664242915,0.476146473688119,0.608997126783952,0.406096871528797
0.7,0.3,0.794117647058823,0.318197832272503,0.47591981478632,0.647026258698268,0.400693566565374
0.71,0.29,0.786144578313253,0.3108933490573,0.475251229255953,0.687873903816873,0.395465869298942
0.72,0.28,0.777777777777778,0.30366965197284,0.474108125804938,0.73178936643329,0.390432409679365
0.73,0.27,0.768987341772152,0.296532645060613,0.472454696711539,0.779046294146223,0.385614468473884
0.74,0.26,0.75974025974026,0.289488740126587,0.470251519613673,0.82994502706627,0.3810364613632
0.75,0.25,0.75,0.282544900413386,0.467455099586614,0.884815120125085,0.376726533884514
0.76,0.24,0.73972602739726,0.27570868657922,0.464017340818041,0.944018035238636,0.37271729852376
0.77,0.23,0.72887323943662,0.26898830453565,0.45988493490097,1.00794999630717,0.369046755981278
0.78,0.22,0.717391304347826,0.26239265446042,0.454998649887406,1.07704499667998,0.365759457732707
0.79,0.21,0.705223880597015,0.25593138,0.449292500597015,1.15177794689727,0.362907988571429
0.8,0.2,0.692307692307692,0.249614916298526,0.442692776009166,1.23266795212,0.360554879097871
0.81,0.19,0.678571428571428,0.243454535026219,0.43511689354521,1.32028171664149,0.358775104249165
0.82,0.18,0.663934426229508,0.237462384025432,0.426472042204076,1.41523709175976,0.35765939322349
0.83,0.17,0.648305084745763,0.231651518547467,0.416653566198295,1.51820681970696,0.357318682203937
0.84,0.16,0.631578947368421,0.226035920330709,0.405543027037713,1.6299225897041,0.357890207190289
0.85,0.15,0.613636363636364,0.2206305,0.393005863636364,1.75117962549891,0.359546
0.86,0.14,0.594339622641509,0.215451077502171,0.378888545139339,1.88284218422813,0.362504987543335
0.87,0.13,0.573529411764706,0.210514334617716,0.36301507714699,2.02585058642085,0.367050634718069
0.88,0.12,0.551020408163265,0.205837733125707,0.345182675037559,2.18123074432879,0.37355736752443
0.89,0.11,0.526595744680851,0.201439392108933,0.325156352571918,2.35010764460183,0.382531370873529
0.9,0.1,0.5,0.197337918363907,0.302662081636093,2.53372491280647,0.394675836727814
0.91,0.09,0.470930232558139,0.19355218513693,0.277378047421209,2.73347349226549,0.410999701772246
0.92,0.08,0.439024390243902,0.190101056636878,0.248923333607024,2.95093367538533,0.433007962339556
0.93,0.07,0.403846153846154,0.187003059102603,0.216843094743551,3.18793633117389,0.46305519396835
0.94,0.0599999999999999,0.364864864864865,0.184276003617135,0.180588861247729,3.44665134183579,0.505052750654371
0.95,0.0499999999999999,0.321428571428571,0.181936571146567,0.139492000282004,3.72971428611114,0.566024888011544
0.96,0.04,0.272727272727273,0.179999875966997,0.0927273967602756,4.04040682453621,0.659999545212323
0.97,0.03,0.217741935483871,0.178479028997234,0.0392629064866368,4.38291304536541,0.819681466505816
0.98,0.02,0.155172413793104,0.177384726658057,-0.0222123128649535,4.76268505256072,1.14314601624081
0.99,0.01,0.0833333333333334,0.176724892778036,-0.0933915594447028,5.18696971466259,2.12069871333643
1,0,0,0.1765044,-0.1765044,5.66558114131999,Inf
