"proptime","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0.43,0.894254995788939,0.228,0.666254995788939,3.92217103416201,0.25496083451997
0.44,0.892930009074712,0.224,0.668930009074712,3.98629468336925,0.250859527312916
0.45,0.891605022360485,0.22,0.671605022360485,4.05275010163857,0.246746030453664
0.46,0.890280035646257,0.216,0.674280035646257,4.12166683169564,0.242620289517337
0.47,0.88895504893203,0.212,0.67695504893203,4.19318419307561,0.238482249754576
0.48,0.887630062217803,0.208,0.679630062217803,4.26745222220097,0.234331856089121
0.49,0.886305075503575,0.204,0.682305075503575,4.34463272305674,0.230169053115365
0.5,0.884980088789348,0.2,0.684980088789348,4.42490044394674,0.225993785095888
0.51,0.883655102075121,0.196,0.687655102075121,4.50844439834245,0.221805995958973
0.52,0.882330115360893,0.192,0.690330115360893,4.59546935083799,0.217605629296091
0.53,0.881005128646666,0.188,0.693005128646666,4.68619749280141,0.213392628359373
0.54,0.879680141932439,0.184,0.695680141932439,4.78087033658934,0.209166936059052
0.55,0.878355155218211,0.18,0.698355155218211,4.8797508623234,0.204928494960882
0.56,0.877030168503984,0.176,0.701030168503984,4.983125957409,0.200677247283541
0.57,0.875705181789757,0.172,0.703705181789757,5.09130919645207,0.196413134896003
0.58,0.874380195075529,0.168,0.70638019507553,5.20464401830672,0.192136099314884
0.59,0.873055208361302,0.164,0.709055208361302,5.32350736805672,0.187846081701778
0.6,0.871730221647075,0.16,0.711730221647075,5.44831388529422,0.183543022860548
0.61,0.870405234932847,0.156,0.714405234932847,5.57952073674902,0.179226863234612
0.62,0.86908024821862,0.152,0.71708024821862,5.71763321196461,0.17489754290419
0.63,0.867755261504393,0.148,0.719755261504393,5.86321122638103,0.170555001583532
0.64,0.866430274790165,0.144,0.722430274790165,6.01687690826504,0.166199178618123
0.65,0.865105288075938,0.14,0.725105288075938,6.1793234862567,0.161830012981854
0.66,0.863780301361711,0.136,0.727780301361711,6.3513257453067,0.157447443274178
0.67,0.862455314647484,0.132,0.730455314647484,6.53375238369306,0.153051407717226
0.68,0.861130327933256,0.128,0.733130327933256,6.72758068697856,0.148641844152911
0.69,0.859805341219029,0.124,0.735805341219029,6.93391404208894,0.144218690039996
0.7,0.858480354504802,0.12,0.738480354504802,7.15400295420668,0.139781882451136
0.71,0.857155367790574,0.116,0.741155367790574,7.38927041198771,0.135331358069896
0.72,0.855830381076347,0.112,0.743830381076347,7.64134268818167,0.130867053187738
0.73,0.85450539436212,0.108,0.74650539436212,7.91208698483444,0.126388903700978
0.74,0.853180407647892,0.104,0.749180407647892,8.20365776584512,0.121896845107724
0.75,0.851855420933665,0.1,0.751855420933665,8.51855420933665,0.117390812504775
0.76,0.850530434219438,0.096,0.754530434219438,8.85969202311914,0.112870740584495
0.77,0.84920544750521,0.092,0.75720544750521,9.23049399462185,0.108336563631659
0.78,0.847880460790983,0.088,0.759880460790983,9.63500523626117,0.10378821552027
0.79,0.846555474076756,0.084,0.762555474076756,10.0780413580566,0.0992256297103382
0.8,0.845230487362528,0.08,0.765230487362528,10.5653810920316,0.0946487392446448
0.81,0.843905500648301,0.076,0.767905500648301,11.1040197453724,0.0900574767454598
0.82,0.842580513934074,0.072,0.770580513934074,11.7025071379732,0.0854517744112386
0.83,0.841255527219846,0.068,0.773255527219846,12.3714048120566,0.080831564013284
0.84,0.839930540505619,0.064,0.775930540505619,13.1239146954003,0.0761967768923767
0.85,0.838605553791392,0.06,0.778605553791392,13.9767592298565,0.0715473439553745
0.86,0.837280567077164,0.056,0.781280567077164,14.9514386978065,0.0668831956717789
0.87,0.835955580362937,0.052,0.783955580362937,16.0760688531334,0.0622042620702691
0.88,0.83463059364871,0.048,0.78663059364871,17.3881373676815,0.0575104727352025
0.89,0.833305606934482,0.044,0.789305606934482,18.9387637939655,0.052801756803083
0.9,0.831980620220255,0.04,0.791980620220255,20.7995155055064,0.0480780429589941
0.91,0.830655633506028,0.036,0.794655633506028,23.0737675973897,0.0433392594329991
0.92,0.8293306467918,0.032,0.7973306467918,25.9165827122438,0.038585333996506
0.93,0.828005660077573,0.028,0.800005660077573,29.5716307170562,0.0338161939585978
0.94,0.826680673363346,0.024,0.802680673363346,34.445028056806,0.0290317661623274
0.95,0.825355686649119,0.02,0.805355686649118,41.2677843324559,0.0242319769809771
0.96,0.824030699934891,0.016,0.808030699934891,51.5019187459307,0.0194167523142818
0.97,0.822705713220664,0.012,0.810705713220664,68.5588094350553,0.0145860175846152
0.98,0.821380726506437,0.00800000000000001,0.813380726506437,102.672590813304,0.00973969773314046
0.99,0.820055739792209,0.004,0.816055739792209,205.013934948052,0.00487771721592187
1,0.818730753077982,0,0.818730753077982,Inf,0
