"proptime","growth_curve","pred_curve","fitness","NCE_CE","mu_g"
0.31,0.448333333333333,0.307,0.141333333333333,1.79695982627579,0.684758364312268
0.3,0.45,0.31,0.14,1.7741935483871,0.688888888888889
0.29,0.451666666666667,0.313,0.138666666666667,1.75186368477103,0.692988929889299
0.28,0.453333333333333,0.316,0.137333333333333,1.72995780590717,0.697058823529412
0.27,0.455,0.319,0.136,1.70846394984326,0.701098901098901
0.26,0.456666666666667,0.322,0.134666666666667,1.68737060041408,0.705109489051095
0.25,0.458333333333333,0.325,0.133333333333333,1.66666666666667,0.709090909090909
0.24,0.46,0.328,0.132,1.64634146341463,0.71304347826087
0.23,0.461666666666667,0.331,0.130666666666667,1.62638469284995,0.716967509025271
0.22,0.463333333333333,0.334,0.129333333333333,1.60678642714571,0.720863309352518
0.21,0.465,0.337,0.128,1.58753709198813,0.724731182795699
0.2,0.466666666666667,0.34,0.126666666666667,1.56862745098039,0.728571428571429
0.19,0.468333333333333,0.343,0.125333333333333,1.55004859086492,0.732384341637011
0.18,0.47,0.346,0.124,1.53179190751445,0.736170212765958
0.17,0.471666666666667,0.349,0.122666666666667,1.51384909264565,0.739929328621908
0.16,0.473333333333333,0.352,0.121333333333333,1.49621212121212,0.743661971830986
0.15,0.475,0.355,0.12,1.47887323943662,0.747368421052632
0.14,0.476666666666667,0.358,0.118666666666667,1.46182495344506,0.751048951048951
0.13,0.478333333333333,0.361,0.117333333333333,1.44506001846722,0.754703832752613
0.12,0.48,0.364,0.116,1.42857142857143,0.758333333333333
0.11,0.481666666666667,0.367,0.114666666666667,1.41235240690282,0.761937716262976
0.1,0.483333333333333,0.37,0.113333333333333,1.3963963963964,0.76551724137931
0.09,0.485,0.373,0.112,1.38069705093834,0.769072164948454
0.08,0.486666666666667,0.376,0.110666666666667,1.36524822695035,0.772602739726027
0.07,0.488333333333333,0.379,0.109333333333333,1.35004397537379,0.776109215017065
0.0599999999999999,0.49,0.382,0.108,1.33507853403141,0.779591836734694
0.0499999999999999,0.491666666666667,0.385,0.106666666666667,1.32034632034632,0.783050847457627
0.04,0.493333333333333,0.388,0.105333333333333,1.30584192439863,0.786486486486486
0.03,0.495,0.391,0.104,1.29156010230179,0.78989898989899
0.02,0.496666666666667,0.394,0.102666666666667,1.27749576988156,0.793288590604027
0.01,0.498333333333333,0.397,0.101333333333333,1.26364399664148,0.796655518394649
0,0.5,0.4,0.1,1.25,0.8
